attendance_id,employee_id,attendance_date,status,check_in_time,check_out_time
80,5,2025-06-05,PRESENT,10:55:00,17:55:00
81,6,2025-06-05,PRESENT,08:56:00,17:56:00
82,7,2025-06-05,PRESENT,10:38:00,17:38:00
83,8,2025-06-05,ABSENT,,
84,9,2025-06-05,PRESENT,09:42:00,18:42:00
85,10,2025-06-05,ABSENT,,
86,11,2025-06-05,ABSENT,,
87,12,2025-06-05,PRESENT,09:13:00,18:13:00
88,13,2025-06-05,LEAVE,,
89,14,2025-06-05,PRESENT,08:16:00,16:16:00
90,15,2025-06-05,PRESENT,10:41:00,18:41:00
91,16,2025-06-05,PRESENT,09:59:00,16:59:00
92,17,2025-06-05,PRESENT,09:39:00,18:39:00
93,18,2025-06-05,PRESENT,08:34:00,15:34:00
94,19,2025-06-05,ABSENT,,
95,20,2025-06-05,PRESENT,08:59:00,16:59:00
96,21,2025-06-05,PRESENT,08:23:00,16:23:00
97,22,2025-06-05,PRESENT,09:53:00,18:53:00
98,23,2025-06-05,LEAVE,,
99,24,2025-06-05,PRESENT,10:51:00,19:51:00
100,25,2025-06-05,ABSENT,,
101,1,2025-06-06,PRESENT,10:52:00,19:52:00
102,2,2025-06-06,PRESENT,10:06:00,17:06:00
103,3,2025-06-06,PRESENT,08:56:00,15:56:00
104,4,2025-06-06,LEAVE,,
105,5,2025-06-06,ABSENT,,
106,6,2025-06-06,PRESENT,09:18:00,18:18:00
107,7,2025-06-06,PRESENT,10:21:00,17:21:00
108,8,2025-06-06,LEAVE,,
109,9,2025-06-06,LEAVE,,
110,10,2025-06-06,WFH,09:32:00,17:32:00
111,11,2025-06-06,PRESENT,08:05:00,17:05:00
112,12,2025-06-06,PRESENT,09:02:00,16:02:00
113,13,2025-06-06,PRESENT,08:40:00,16:40:00
114,14,2025-06-06,PRESENT,10:28:00,19:28:00
115,15,2025-06-06,LEAVE,,
116,16,2025-06-06,PRESENT,10:00:00,17:00:00
117,17,2025-06-06,PRESENT,10:57:00,17:57:00
118,18,2025-06-06,ABSENT,,
119,19,2025-06-06,PRESENT,09:37:00,18:37:00
120,20,2025-06-06,PRESENT,09:08:00,16:08:00
121,21,2025-06-06,PRESENT,09:57:00,16:57:00
122,22,2025-06-06,PRESENT,08:43:00,15:43:00
123,23,2025-06-06,LEAVE,,
124,24,2025-06-06,PRESENT,09:49:00,18:49:00
125,25,2025-06-06,WFH,09:39:00,18:39:00
126,1,2025-06-09,PRESENT,08:55:00,15:55:00
127,2,2025-06-09,WFH,08:56:00,16:56:00
128,3,2025-06-09,PRESENT,08:47:00,16:47:00
129,4,2025-06-09,WFH,09:51:00,18:51:00
130,5,2025-06-09,WFH,10:51:00,17:51:00
131,6,2025-06-09,PRESENT,08:50:00,17:50:00
132,7,2025-06-09,PRESENT,09:55:00,16:55:00
133,8,2025-06-09,WFH,09:14:00,16:14:00
134,9,2025-06-09,WFH,09:22:00,17:22:00
135,10,2025-06-09,WFH,08:14:00,15:14:00
136,11,2025-06-09,LEAVE,,
137,12,2025-06-09,PRESENT,09:21:00,17:21:00
138,13,2025-06-09,WFH,08:49:00,16:49:00
139,14,2025-06-09,PRESENT,10:32:00,18:32:00
140,15,2025-06-09,LEAVE,,
141,16,2025-06-09,WFH,10:21:00,17:21:00
142,17,2025-06-09,PRESENT,09:11:00,18:11:00
143,18,2025-06-09,PRESENT,08:06:00,17:06:00
144,19,2025-06-09,PRESENT,09:46:00,17:46:00
145,20,2025-06-09,PRESENT,10:32:00,17:32:00
146,21,2025-06-09,PRESENT,10:12:00,18:12:00
147,22,2025-06-09,PRESENT,10:27:00,17:27:00
148,23,2025-06-09,ABSENT,,
149,24,2025-06-09,WFH,10:43:00,19:43:00
150,25,2025-06-09,LEAVE,,
151,1,2025-06-10,LEAVE,,
152,2,2025-06-10,LEAVE,,
153,3,2025-06-10,PRESENT,09:27:00,16:27:00
154,4,2025-06-10,LEAVE,,
155,5,2025-06-10,PRESENT,10:20:00,19:20:00
156,6,2025-06-10,WFH,08:46:00,16:46:00
157,7,2025-06-10,ABSENT,,
158,8,2025-06-10,PRESENT,10:26:00,18:26:00
159,9,2025-06-10,PRESENT,10:18:00,19:18:00
160,10,2025-06-10,PRESENT,08:26:00,17:26:00
161,11,2025-06-10,PRESENT,10:47:00,17:47:00
162,12,2025-06-10,ABSENT,,
163,13,2025-06-10,ABSENT,,
164,14,2025-06-10,PRESENT,09:35:00,16:35:00
165,15,2025-06-10,PRESENT,09:13:00,17:13:00
166,16,2025-06-10,WFH,10:38:00,19:38:00
167,17,2025-06-10,PRESENT,09:28:00,17:28:00
168,18,2025-06-10,LEAVE,,
169,19,2025-06-10,PRESENT,10:30:00,19:30:00
170,20,2025-06-10,PRESENT,10:05:00,18:05:00
171,21,2025-06-10,ABSENT,,
172,22,2025-06-10,LEAVE,,
173,23,2025-06-10,LEAVE,,
174,24,2025-06-10,ABSENT,,
175,25,2025-06-10,PRESENT,08:52:00,15:52:00
176,1,2025-06-11,LEAVE,,
177,2,2025-06-11,PRESENT,08:51:00,15:51:00
178,3,2025-06-11,PRESENT,08:02:00,15:02:00
179,4,2025-06-11,PRESENT,10:54:00,17:54:00
180,5,2025-06-11,PRESENT,09:56:00,18:56:00
181,6,2025-06-11,ABSENT,,
182,7,2025-06-11,PRESENT,10:44:00,18:44:00
183,8,2025-06-11,PRESENT,09:15:00,16:15:00
184,9,2025-06-11,LEAVE,,
185,10,2025-06-11,LEAVE,,
186,11,2025-06-11,PRESENT,08:49:00,16:49:00
187,12,2025-06-11,PRESENT,08:51:00,17:51:00
188,13,2025-06-11,ABSENT,,
189,14,2025-06-11,PRESENT,08:35:00,15:35:00
190,15,2025-06-11,WFH,08:29:00,15:29:00
191,16,2025-06-11,WFH,09:42:00,18:42:00
192,17,2025-06-11,ABSENT,,
193,18,2025-06-11,ABSENT,,
194,19,2025-06-11,PRESENT,09:39:00,18:39:00
195,20,2025-06-11,ABSENT,,
196,21,2025-06-11,PRESENT,10:28:00,17:28:00
197,22,2025-06-11,LEAVE,,
198,23,2025-06-11,WFH,09:28:00,17:28:00
199,24,2025-06-11,WFH,08:53:00,17:53:00
200,25,2025-06-11,PRESENT,10:31:00,19:31:00
201,1,2025-06-12,PRESENT,09:28:00,16:28:00
202,2,2025-06-12,LEAVE,,
203,3,2025-06-12,PRESENT,08:17:00,16:17:00
204,4,2025-06-12,PRESENT,10:05:00,17:05:00
205,5,2025-06-12,PRESENT,08:24:00,17:24:00
206,6,2025-06-12,PRESENT,10:13:00,17:13:00
207,7,2025-06-12,PRESENT,09:21:00,18:21:00
208,8,2025-06-12,PRESENT,09:03:00,16:03:00
209,9,2025-06-12,WFH,09:24:00,18:24:00
210,10,2025-06-12,LEAVE,,
211,11,2025-06-12,PRESENT,10:24:00,18:24:00
212,12,2025-06-12,PRESENT,09:19:00,17:19:00
213,13,2025-06-12,WFH,09:34:00,18:34:00
214,14,2025-06-12,LEAVE,,
215,15,2025-06-12,ABSENT,,
216,16,2025-06-12,WFH,10:57:00,17:57:00
217,17,2025-06-12,PRESENT,08:17:00,16:17:00
218,18,2025-06-12,PRESENT,08:24:00,16:24:00
219,19,2025-06-12,LEAVE,,
220,20,2025-06-12,LEAVE,,
221,21,2025-06-12,WFH,09:46:00,16:46:00
222,22,2025-06-12,WFH,09:58:00,16:58:00
223,23,2025-06-12,ABSENT,,
224,24,2025-06-12,ABSENT,,
225,25,2025-06-12,PRESENT,09:37:00,18:37:00
226,1,2025-06-13,LEAVE,,
227,2,2025-06-13,PRESENT,08:41:00,16:41:00
228,3,2025-06-13,PRESENT,09:11:00,16:11:00
229,4,2025-06-13,PRESENT,09:20:00,16:20:00
230,5,2025-06-13,PRESENT,09:21:00,17:21:00
231,6,2025-06-13,PRESENT,09:16:00,16:16:00
232,7,2025-06-13,PRESENT,08:47:00,17:47:00
233,8,2025-06-13,PRESENT,09:14:00,18:14:00
234,9,2025-06-13,PRESENT,10:02:00,17:02:00
235,10,2025-06-13,PRESENT,08:53:00,15:53:00
236,11,2025-06-13,ABSENT,,
237,12,2025-06-13,PRESENT,08:08:00,16:08:00
238,13,2025-06-13,LEAVE,,
239,14,2025-06-13,PRESENT,10:13:00,18:13:00
240,15,2025-06-13,LEAVE,,
241,16,2025-06-13,PRESENT,09:10:00,18:10:00
242,17,2025-06-13,ABSENT,,
243,18,2025-06-13,LEAVE,,
244,19,2025-06-13,LEAVE,,
245,20,2025-06-13,PRESENT,08:19:00,15:19:00
246,21,2025-06-13,ABSENT,,
247,22,2025-06-13,PRESENT,09:36:00,18:36:00
248,23,2025-06-13,PRESENT,09:45:00,16:45:00
249,24,2025-06-13,PRESENT,10:44:00,19:44:00
250,25,2025-06-13,PRESENT,08:44:00,16:44:00
251,1,2025-06-16,WFH,10:38:00,17:38:00
252,2,2025-06-16,WFH,10:50:00,17:50:00
253,3,2025-06-16,PRESENT,10:27:00,19:27:00
254,4,2025-06-16,PRESENT,08:32:00,17:32:00
255,5,2025-06-16,PRESENT,08:54:00,16:54:00
256,6,2025-06-16,WFH,09:06:00,17:06:00
257,7,2025-06-16,PRESENT,10:57:00,18:57:00
258,8,2025-06-16,LEAVE,,
259,9,2025-06-16,PRESENT,09:11:00,18:11:00
260,10,2025-06-16,ABSENT,,
261,11,2025-06-16,LEAVE,,
262,12,2025-06-16,PRESENT,10:51:00,19:51:00
263,13,2025-06-16,WFH,09:29:00,17:29:00
264,14,2025-06-16,WFH,10:37:00,18:37:00
265,15,2025-06-16,PRESENT,08:53:00,15:53:00
266,16,2025-06-16,PRESENT,09:15:00,17:15:00
267,17,2025-06-16,ABSENT,,
268,18,2025-06-16,ABSENT,,
269,19,2025-06-16,LEAVE,,
270,20,2025-06-16,PRESENT,09:01:00,17:01:00
271,21,2025-06-16,WFH,09:11:00,17:11:00
272,22,2025-06-16,PRESENT,09:51:00,17:51:00
273,23,2025-06-16,PRESENT,09:56:00,18:56:00
274,24,2025-06-16,LEAVE,,
275,25,2025-06-16,PRESENT,10:00:00,19:00:00
276,1,2025-06-17,PRESENT,08:15:00,17:15:00
277,2,2025-06-17,PRESENT,09:35:00,16:35:00
278,3,2025-06-17,LEAVE,,
279,4,2025-06-17,PRESENT,10:45:00,18:45:00
280,5,2025-06-17,PRESENT,08:05:00,16:05:00
281,6,2025-06-17,PRESENT,09:44:00,16:44:00
282,7,2025-06-17,PRESENT,10:37:00,18:37:00
283,8,2025-06-17,PRESENT,10:33:00,18:33:00
284,9,2025-06-17,PRESENT,10:35:00,18:35:00
285,10,2025-06-17,PRESENT,10:29:00,18:29:00
286,11,2025-06-17,PRESENT,09:14:00,16:14:00
287,12,2025-06-17,LEAVE,,
288,13,2025-06-17,PRESENT,09:07:00,18:07:00
289,14,2025-06-17,ABSENT,,
290,15,2025-06-17,WFH,10:11:00,17:11:00
291,16,2025-06-17,PRESENT,10:30:00,18:30:00
292,17,2025-06-17,LEAVE,,
293,18,2025-06-17,ABSENT,,
294,19,2025-06-17,WFH,10:38:00,18:38:00
295,20,2025-06-17,PRESENT,08:18:00,15:18:00
296,21,2025-06-17,PRESENT,08:19:00,15:19:00
297,22,2025-06-17,LEAVE,,
298,23,2025-06-17,ABSENT,,
299,24,2025-06-17,PRESENT,09:02:00,16:02:00
300,25,2025-06-17,ABSENT,,
301,1,2025-06-18,PRESENT,10:08:00,19:08:00
302,2,2025-06-18,WFH,09:06:00,16:06:00
303,3,2025-06-18,ABSENT,,
304,4,2025-06-18,PRESENT,09:30:00,17:30:00
305,5,2025-06-18,PRESENT,08:03:00,16:03:00
306,6,2025-06-18,WFH,09:07:00,16:07:00
307,7,2025-06-18,PRESENT,09:04:00,18:04:00
308,8,2025-06-18,LEAVE,,
309,9,2025-06-18,LEAVE,,
310,10,2025-06-18,PRESENT,08:09:00,17:09:00
311,11,2025-06-18,PRESENT,08:15:00,15:15:00
312,12,2025-06-18,ABSENT,,
313,13,2025-06-18,WFH,09:38:00,18:38:00
314,14,2025-06-18,WFH,10:14:00,19:14:00
315,15,2025-06-18,PRESENT,09:58:00,17:58:00
316,16,2025-06-18,PRESENT,10:27:00,18:27:00
317,17,2025-06-18,ABSENT,,
318,18,2025-06-18,ABSENT,,
319,19,2025-06-18,PRESENT,10:47:00,17:47:00
320,20,2025-06-18,WFH,08:40:00,15:40:00
321,21,2025-06-18,PRESENT,10:05:00,17:05:00
322,22,2025-06-18,PRESENT,08:35:00,15:35:00
323,23,2025-06-18,PRESENT,08:26:00,16:26:00
324,24,2025-06-18,LEAVE,,
325,25,2025-06-18,ABSENT,,
326,1,2025-06-19,PRESENT,09:02:00,16:02:00
327,2,2025-06-19,PRESENT,10:18:00,19:18:00
328,3,2025-06-19,WFH,09:04:00,18:04:00
329,4,2025-06-19,PRESENT,09:50:00,18:50:00
330,5,2025-06-19,ABSENT,,
331,6,2025-06-19,LEAVE,,
332,7,2025-06-19,WFH,08:27:00,15:27:00
333,8,2025-06-19,ABSENT,,
334,9,2025-06-19,PRESENT,10:09:00,18:09:00
335,10,2025-06-19,WFH,08:04:00,15:04:00
336,11,2025-06-19,PRESENT,09:38:00,18:38:00
337,12,2025-06-19,WFH,10:58:00,18:58:00
338,13,2025-06-19,PRESENT,08:29:00,17:29:00
339,14,2025-06-19,PRESENT,10:25:00,18:25:00
340,15,2025-06-19,ABSENT,,
341,16,2025-06-19,ABSENT,,
342,17,2025-06-19,PRESENT,09:05:00,18:05:00
343,18,2025-06-19,PRESENT,09:47:00,17:47:00
344,19,2025-06-19,ABSENT,,
345,20,2025-06-19,PRESENT,08:05:00,15:05:00
346,21,2025-06-19,LEAVE,,
347,22,2025-06-19,WFH,10:37:00,17:37:00
348,23,2025-06-19,WFH,10:52:00,18:52:00
349,24,2025-06-19,ABSENT,,
350,25,2025-06-19,PRESENT,08:30:00,17:30:00
351,1,2025-06-20,LEAVE,,
352,2,2025-06-20,PRESENT,09:11:00,18:11:00
353,3,2025-06-20,PRESENT,10:52:00,18:52:00
354,4,2025-06-20,PRESENT,09:22:00,17:22:00
355,5,2025-06-20,PRESENT,09:42:00,16:42:00
356,6,2025-06-20,WFH,08:21:00,16:21:00
357,7,2025-06-20,LEAVE,,
358,8,2025-06-20,PRESENT,09:42:00,17:42:00
359,9,2025-06-20,WFH,10:02:00,18:02:00
360,10,2025-06-20,PRESENT,09:16:00,17:16:00
361,11,2025-06-20,PRESENT,09:55:00,18:55:00
362,12,2025-06-20,WFH,08:42:00,17:42:00
363,13,2025-06-20,PRESENT,09:03:00,16:03:00
364,14,2025-06-20,ABSENT,,
365,15,2025-06-20,PRESENT,10:48:00,18:48:00
366,16,2025-06-20,LEAVE,,
367,17,2025-06-20,PRESENT,08:13:00,16:13:00
368,18,2025-06-20,ABSENT,,
369,19,2025-06-20,PRESENT,09:28:00,18:28:00
370,20,2025-06-20,PRESENT,08:01:00,17:01:00
371,21,2025-06-20,ABSENT,,
372,22,2025-06-20,WFH,08:45:00,15:45:00
373,23,2025-06-20,PRESENT,10:00:00,19:00:00
374,24,2025-06-20,PRESENT,08:14:00,15:14:00
375,25,2025-06-20,PRESENT,08:41:00,15:41:00
376,1,2025-06-23,PRESENT,10:18:00,19:18:00
377,2,2025-06-23,LEAVE,,
378,3,2025-06-23,PRESENT,09:53:00,17:53:00
379,4,2025-06-23,PRESENT,08:29:00,17:29:00
380,5,2025-06-23,PRESENT,09:12:00,18:12:00
381,6,2025-06-23,ABSENT,,
382,7,2025-06-23,LEAVE,,
383,8,2025-06-23,PRESENT,08:17:00,16:17:00
384,9,2025-06-23,PRESENT,10:17:00,17:17:00
385,10,2025-06-23,PRESENT,10:19:00,19:19:00
386,11,2025-06-23,ABSENT,,
387,12,2025-06-23,LEAVE,,
388,13,2025-06-23,PRESENT,08:28:00,17:28:00
389,14,2025-06-23,PRESENT,09:21:00,18:21:00
390,15,2025-06-23,WFH,10:24:00,18:24:00
391,16,2025-06-23,PRESENT,08:44:00,15:44:00
392,17,2025-06-23,ABSENT,,
393,18,2025-06-23,PRESENT,08:54:00,16:54:00
394,19,2025-06-23,PRESENT,09:47:00,17:47:00
395,20,2025-06-23,LEAVE,,
396,21,2025-06-23,WFH,09:24:00,18:24:00
397,22,2025-06-23,WFH,10:09:00,18:09:00
398,23,2025-06-23,PRESENT,08:32:00,17:32:00
399,24,2025-06-23,PRESENT,08:55:00,16:55:00
400,25,2025-06-23,PRESENT,10:58:00,18:58:00
401,1,2025-06-24,PRESENT,10:09:00,18:09:00
402,2,2025-06-24,WFH,10:09:00,17:09:00
403,3,2025-06-24,PRESENT,09:21:00,18:21:00
404,4,2025-06-24,LEAVE,,
405,5,2025-06-24,PRESENT,10:05:00,18:05:00
406,6,2025-06-24,WFH,10:54:00,19:54:00
407,7,2025-06-24,PRESENT,09:40:00,18:40:00
408,8,2025-06-24,WFH,09:55:00,18:55:00
409,9,2025-06-24,PRESENT,10:04:00,17:04:00
410,10,2025-06-24,LEAVE,,
411,11,2025-06-24,LEAVE,,
412,12,2025-06-24,PRESENT,08:47:00,15:47:00
413,13,2025-06-24,PRESENT,08:48:00,17:48:00
414,14,2025-06-24,LEAVE,,
415,15,2025-06-24,WFH,08:28:00,15:28:00
416,16,2025-06-24,LEAVE,,
417,17,2025-06-24,PRESENT,08:02:00,16:02:00
418,18,2025-06-24,WFH,08:18:00,16:18:00
419,19,2025-06-24,PRESENT,09:09:00,16:09:00
420,20,2025-06-24,ABSENT,,
421,21,2025-06-24,PRESENT,10:43:00,17:43:00
422,22,2025-06-24,PRESENT,08:05:00,17:05:00
423,23,2025-06-24,WFH,09:39:00,18:39:00
424,24,2025-06-24,PRESENT,09:58:00,18:58:00
425,25,2025-06-24,PRESENT,08:29:00,17:29:00
426,1,2025-06-25,PRESENT,09:16:00,18:16:00
427,2,2025-06-25,PRESENT,09:57:00,17:57:00
428,3,2025-06-25,LEAVE,,
429,4,2025-06-25,ABSENT,,
430,5,2025-06-25,PRESENT,08:28:00,16:28:00
431,6,2025-06-25,ABSENT,,
432,7,2025-06-25,PRESENT,10:27:00,19:27:00
433,8,2025-06-25,PRESENT,09:54:00,17:54:00
434,9,2025-06-25,PRESENT,09:54:00,17:54:00
435,10,2025-06-25,PRESENT,08:24:00,17:24:00
436,11,2025-06-25,PRESENT,10:18:00,19:18:00
437,12,2025-06-25,PRESENT,08:53:00,17:53:00
438,13,2025-06-25,PRESENT,09:00:00,18:00:00
439,14,2025-06-25,WFH,10:49:00,19:49:00
440,15,2025-06-25,PRESENT,10:47:00,18:47:00
441,16,2025-06-25,WFH,09:49:00,16:49:00
442,17,2025-06-25,ABSENT,,
443,18,2025-06-25,WFH,09:14:00,18:14:00
444,19,2025-06-25,PRESENT,10:16:00,19:16:00
445,20,2025-06-25,WFH,10:49:00,19:49:00
446,21,2025-06-25,LEAVE,,
447,22,2025-06-25,WFH,08:40:00,15:40:00
448,23,2025-06-25,LEAVE,,
449,24,2025-06-25,LEAVE,,
450,25,2025-06-25,PRESENT,09:50:00,17:50:00
451,1,2025-06-26,PRESENT,10:23:00,19:23:00
452,2,2025-06-26,PRESENT,08:58:00,16:58:00
453,3,2025-06-26,PRESENT,10:26:00,17:26:00
454,4,2025-06-26,PRESENT,08:50:00,17:50:00
455,5,2025-06-26,PRESENT,10:32:00,18:32:00
456,6,2025-06-26,WFH,08:16:00,16:16:00
457,7,2025-06-26,WFH,09:47:00,17:47:00
458,8,2025-06-26,WFH,08:29:00,15:29:00
459,9,2025-06-26,PRESENT,08:55:00,17:55:00
460,10,2025-06-26,LEAVE,,
461,11,2025-06-26,LEAVE,,
462,12,2025-06-26,PRESENT,10:23:00,17:23:00
463,13,2025-06-26,WFH,09:00:00,17:00:00
464,14,2025-06-26,ABSENT,,
465,15,2025-06-26,PRESENT,09:23:00,18:23:00
466,16,2025-06-26,LEAVE,,
467,17,2025-06-26,LEAVE,,
468,18,2025-06-26,PRESENT,10:24:00,19:24:00
469,19,2025-06-26,PRESENT,08:43:00,15:43:00
470,20,2025-06-26,PRESENT,08:39:00,17:39:00
471,21,2025-06-26,PRESENT,10:14:00,19:14:00
472,22,2025-06-26,PRESENT,10:52:00,18:52:00
473,23,2025-06-26,LEAVE,,
474,24,2025-06-26,PRESENT,10:26:00,17:26:00
475,25,2025-06-26,PRESENT,08:02:00,16:02:00
476,1,2025-06-27,PRESENT,08:06:00,15:06:00
477,2,2025-06-27,ABSENT,,
478,3,2025-06-27,PRESENT,09:29:00,17:29:00
479,4,2025-06-27,LEAVE,,
480,5,2025-06-27,LEAVE,,
481,6,2025-06-27,LEAVE,,
482,7,2025-06-27,ABSENT,,
483,8,2025-06-27,PRESENT,10:47:00,19:47:00
484,9,2025-06-27,PRESENT,09:41:00,16:41:00
485,10,2025-06-27,WFH,09:39:00,17:39:00
486,11,2025-06-27,PRESENT,08:44:00,16:44:00
487,12,2025-06-27,PRESENT,09:28:00,16:28:00
488,13,2025-06-27,WFH,09:06:00,18:06:00
489,14,2025-06-27,PRESENT,10:57:00,19:57:00
490,15,2025-06-27,PRESENT,08:25:00,16:25:00
491,16,2025-06-27,PRESENT,08:54:00,16:54:00
492,17,2025-06-27,PRESENT,10:13:00,19:13:00
493,18,2025-06-27,LEAVE,,
494,19,2025-06-27,ABSENT,,
495,20,2025-06-27,PRESENT,08:50:00,16:50:00
496,21,2025-06-27,PRESENT,08:50:00,17:50:00
497,22,2025-06-27,PRESENT,08:53:00,17:53:00
498,23,2025-06-27,PRESENT,10:13:00,17:13:00
499,24,2025-06-27,PRESENT,08:50:00,17:50:00
500,25,2025-06-27,PRESENT,09:54:00,16:54:00
501,1,2025-06-30,PRESENT,10:16:00,17:16:00
502,2,2025-06-30,PRESENT,10:55:00,17:55:00
503,3,2025-06-30,PRESENT,08:22:00,15:22:00
504,4,2025-06-30,ABSENT,,
505,5,2025-06-30,PRESENT,08:11:00,16:11:00
506,6,2025-06-30,PRESENT,08:47:00,16:47:00
507,7,2025-06-30,ABSENT,,
508,8,2025-06-30,PRESENT,10:04:00,18:04:00
509,9,2025-06-30,PRESENT,09:32:00,18:32:00
510,10,2025-06-30,PRESENT,09:32:00,16:32:00
511,11,2025-06-30,ABSENT,,
512,12,2025-06-30,PRESENT,10:50:00,19:50:00
513,13,2025-06-30,ABSENT,,
514,14,2025-06-30,PRESENT,09:41:00,16:41:00
515,15,2025-06-30,PRESENT,09:54:00,17:54:00
516,16,2025-06-30,PRESENT,10:06:00,18:06:00
517,17,2025-06-30,LEAVE,,
518,18,2025-06-30,PRESENT,08:57:00,15:57:00
519,19,2025-06-30,PRESENT,10:09:00,17:09:00
520,20,2025-06-30,PRESENT,09:39:00,18:39:00
521,21,2025-06-30,ABSENT,,
522,22,2025-06-30,ABSENT,,
523,23,2025-06-30,LEAVE,,
524,24,2025-06-30,PRESENT,09:38:00,18:38:00
525,25,2025-06-30,PRESENT,09:32:00,18:32:00
